sex,birth,education,grade,income,pa_mar,edu_fa,edu_ma,have_c,conway,sleep,pa_use,trouble,self_diag,f1,f2,f3,f4,f5,f6,f7,scr,fac,lon,eff,d
1,1988,2,4,2,1,7,5,1,1,2,4,5,1,39.73,43.8,37.64,39.89,52.31,43.87,36.69,29,53,37,68,4.07
1,1985,3,4,5,1,5,5,1,2,3,4,4,2,60.23,49.94,53.39,48.31,39.81,58.05,61.46,29,51,51,59,-10.29
2,1989,2,3,2,2,5,5,1,1,2,4,4,3,66.37,56.07,84.88,87.64,83.56,58.05,67.65,26,50,48,49,-10.3
1,1984,3,4,5,1,9,3,1,2,3,2,1,4,72.52,80.61,56.01,76.4,67.94,82.87,73.84,29,60,52,63,8.09
1,1989,2,3,2,1,9,9,1,2,3,1,3,1,35.64,43.8,50.76,45.51,83.56,58.05,42.88,37,61,55,54,8.16
1,1985,3,4,2,1,5,5,1,1,3,2,4,3,68.42,62.21,66.51,73.6,74.19,61.6,64.55,23,72,61,50,-6.21
1,1989,2,2,4,1,9,5,1,1,3,2,3,4,56.13,56.07,61.26,39.89,49.19,58.05,45.98,28,52,56,53,-0.06
1,1986,3,2,2,1,3,5,1,1,3,4,3,2,35.64,43.8,37.64,37.08,36.69,40.32,33.59,26,53,50,51,8.16
1,1987,2,3,5,1,3,1,1,1,3,3,3,2,56.13,49.94,42.89,42.7,46.06,50.96,52.17,32,59,35,60,-6.19
2,1984,3,3,2,1,1,3,1,1,2,4,4,2,52.03,49.94,40.26,53.93,42.94,54.5,42.88,26,42,43,45,-2.09
2,1989,2,2,3,1,5,5,1,1,4,3,4,2,41.78,43.8,40.26,42.7,46.06,40.32,39.78,29,47,39,66,2.02
2,1989,2,4,3,1,9,5,1,1,2,1,3,2,47.93,43.8,42.89,45.51,49.19,68.69,49.07,26,58,45,57,-4.13
1,1987,2,1,2,1,9,9,1,1,3,2,3,3,56.13,43.8,50.76,59.55,58.56,58.05,58.36,30,43,28,79,-12.33
2,1989,2,5,3,1,5,5,1,1,3,4,5,4,54.08,43.8,50.76,51.12,52.31,47.41,61.46,30,67,25,42,-10.28
1,1985,3,5,1,1,5,5,1,1,2,4,1,4,84.82,68.34,69.13,87.64,74.19,61.6,80.03,33,49,65,49,-16.48
1,1985,3,4,3,1,9,5,1,1,3,1,3,3,66.37,56.07,45.51,59.55,64.81,58.05,58.36,33,53,35,62,-10.3
2,1989,2,5,2,1,5,3,1,1,2,4,5,2,86.86,92.88,79.63,79.21,77.31,86.42,52.17,17,63,49,60,6.02
2,1984,3,2,1,4,5,3,1,3,2,4,1,4,56.13,49.94,37.64,51.12,49.19,47.41,55.26,33,40,31,80,-6.19
2,1986,3,4,2,1,5,5,1,1,2,4,4,3,60.23,43.8,53.39,56.74,52.31,50.96,64.55,27,58,37,55,-16.43
1,1985,3,2,1,4,5,5,1,1,3,4,3,2,37.68,43.8,50.76,53.93,49.19,40.32,36.69,31,41,30,78,6.12
1,1987,2,3,2,5,5,5,1,1,3,4,3,2,56.13,43.8,61.26,59.55,61.69,47.41,64.55,28,66,38,58,-12.33
1,1985,3,4,6,1,9,5,1,1,2,1,2,3,62.27,49.94,42.89,48.31,58.56,47.41,39.78,31,59,29,73,-12.33
2,1988,2,4,6,1,7,6,1,1,3,1,4,3,76.62,43.8,77.01,53.93,80.44,50.96,55.26,31,63,45,51,-32.82
2,1984,3,3,3,1,5,5,1,1,3,4,2,3,54.08,43.8,53.39,53.93,42.94,40.32,49.07,27,63,38,53,-10.28
1,1987,2,3,2,1,5,3,1,1,4,3,4,2,45.88,43.8,50.76,51.12,77.31,54.5,58.36,37,57,50,54,-2.08
2,1985,3,2,2,1,5,3,1,1,3,1,2,1,58.18,43.8,56.01,56.74,52.31,50.96,61.46,25,70,46,46,-14.38
1,1989,2,2,1,4,5,5,1,1,3,1,4,1,49.98,43.8,40.26,42.7,42.94,47.41,36.69,22,53,60,45,-6.18
1,1986,3,4,3,1,9,9,1,1,2,1,3,2,41.78,43.8,40.26,39.89,49.19,50.96,49.07,29,53,51,47,2.02
1,1986,3,3,1,1,5,5,1,1,2,4,3,3,58.18,43.8,53.39,45.51,58.56,47.41,52.17,31,57,52,64,-14.38
1,1987,2,3,4,1,9,5,1,1,3,2,3,3,45.88,43.8,50.76,51.12,52.31,47.41,52.17,29,47,55,68,-2.08
2,1989,2,1,2,1,9,9,1,2,3,3,1,3,84.82,43.8,45.51,73.6,49.19,72.23,80.03,11,70,73,50,-41.02
2,1987,2,3,1,3,1,1,1,1,2,4,1,4,62.27,43.8,45.51,65.17,58.56,43.87,70.74,33,48,29,60,-18.47
1,1987,3,2,2,1,1,3,1,1,2,4,4,2,64.32,43.8,77.01,67.98,61.69,61.6,73.84,23,55,53,68,-20.52
2,1987,2,3,2,1,2,5,1,2,2,3,4,3,54.08,49.94,53.39,48.31,80.44,43.87,67.65,31,53,50,54,-4.14
1,1987,3,1,3,1,5,5,1,1,2,4,4,2,35.64,43.8,40.26,39.89,36.69,40.32,45.98,26,53,50,51,8.16
1,1987,2,2,2,1,5,5,1,2,3,2,3,2,56.13,49.94,42.89,48.31,39.81,54.5,61.46,28,53,42,48,-6.19
1,1987,2,4,6,1,5,3,1,1,3,2,3,1,58.18,43.8,69.13,59.55,61.69,61.6,39.78,38,48,31,50,-14.38
1,1988,2,3,2,1,3,5,1,1,4,2,3,2,45.88,49.94,37.64,48.31,36.69,58.05,39.78,30,51,22,79,4.06
2,1987,2,3,3,1,3,5,1,1,2,1,3,2,64.32,43.8,56.01,39.89,61.69,47.41,45.98,32,48,43,66,-20.52
1,1989,2,1,3,1,9,5,1,6,3,2,4,2,54.08,49.94,69.13,59.55,64.81,54.5,58.36,28,53,33,70,-4.14
2,1988,2,3,5,1,5,5,1,1,3,1,2,2,52.03,49.94,42.89,51.12,39.81,50.96,58.36,32,59,42,60,-2.09
1,1988,2,3,2,5,1,1,1,1,4,2,2,2,37.68,43.8,56.01,39.89,52.31,47.41,39.78,29,44,38,70,6.12
